Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
012750,KR7012750006,에스원,KOSPI,,64700,1,2300,3.69,62000,65100,62000,48689,3133746500,2458546816600,37999178,STK
007070,KR7007070006,GS리테일,KOSPI,,23150,0,0,0.0,0,0,0,0,0,2424219894300,104717922,STK
065350,KR7065350001,신성델타테크,KOSDAQ,우량기업부,88000,2,-2700,-2.98,87500,91400,86800,529889,47056081400,2418587424000,27483948,KSQ
068760,KR7068760008,셀트리온제약,KOSDAQ,우량기업부,58100,1,4600,8.6,54200,59900,53900,621019,35858428100,2417168404700,41603587,KSQ
000250,KR7000250001,삼천당제약,KOSDAQ,중견기업부,102000,1,1400,1.39,101100,104400,100800,198005,20282877200,2392662144000,23457472,KSQ
001450,KR7001450006,현대해상,KOSPI,,26700,2,-50,-0.19,26800,26900,26400,220341,5879485350,2386980000000,89400000,STK
088350,KR7088350004,한화생명,KOSPI,,2620,2,-35,-1.32,2640,2645,2595,1494367,3902178490,2275548600000,868530000,STK
004990,KR7004990008,롯데지주,KOSPI,,21600,1,50,0.23,21350,21800,21300,101107,2181305450,2266039519200,104909237,STK
018880,KR7018880005,한온시스템,KOSPI,,4215,1,135,3.31,4025,4270,4025,2015593,8450938470,2249967000000,533800000,STK
004370,KR7004370003,농심,KOSPI,,369500,1,16000,4.53,360000,372500,358000,37634,13846935000,2247536219000,6082642,STK
328130,KR7328130000,루닛,KOSDAQ,기술성장기업부,77200,1,2700,3.62,76500,80500,75900,3581005,280906311800,2234391880000,28942900,KSQ
017800,KR7017800004,현대엘리베이,KOSPI,,57100,1,6700,13.29,51800,58000,51600,900536,50541876700,2232175183500,39092385,STK
403870,KR7403870009,HPSP,KOSDAQ GLOBAL,중견기업부,26850,1,50,0.19,26650,27250,26400,423109,11403226400,2228522505600,82998976,KSQ
950160,KR8840120008,코오롱티슈진,KOSDAQ,외국기업(소속부없음),27600,1,3300,13.58,24000,28600,23500,1680335,45548802150,2193272916000,79466410,KSQ
001440,KR7001440007,대한전선,KOSPI,,11530,1,180,1.59,11350,11540,11270,1068968,12223432250,2149737369000,186447300,STK
030000,KR7030000004,제일기획,KOSPI,,18630,1,440,2.42,18190,18630,18190,383836,7105334330,2143218021750,115041225,STK
002380,KR7002380004,KCC,KOSPI,,240000,1,1500,0.63,236500,241500,235500,12729,3043275000,2132753040000,8886471,STK
062040,KR7062040001,산일전기,KOSPI,,69900,1,4900,7.54,65000,70300,63500,1811852,123484217700,2128119480000,30445200,STK
008930,KR7008930000,한미사이언스,KOSPI,,30350,1,150,0.5,29950,30750,29950,111145,3377837600,2075683542500,68391550,STK
383220,KR7383220001,F&F,KOSPI,,54000,1,1300,2.47,52900,55000,52800,79144,4271890800,2068582050000,38307075,STK
000880,KR7000880005,한화,KOSPI,,27450,2,-600,-2.14,28100,28400,27250,298354,8201322800,2057617275750,74958735,STK
278470,KR7278470000,에이피알,KOSPI,,53800,2,-1500,-2.71,55000,55900,53500,520692,28248044600,2051172882000,38125890,STK
012510,KR7012510004,더존비즈온,KOSPI,,66300,1,4100,6.59,62600,68300,62500,456057,30368516000,2014378579200,30382784,STK
204320,KR7204320006,HL만도,KOSPI,,42550,2,-100,-0.23,42200,42800,41750,153150,6488179300,1998025456000,46957120,STK
000120,KR7000120006,CJ대한통운,KOSPI,,85700,1,2000,2.39,83700,86300,83400,65244,5585998300,1955017880800,22812344,STK
052690,KR7052690005,한전기술,KOSPI,,51100,2,-200,-0.39,51400,52000,50800,145959,7497771300,1953042000000,38220000,STK
006280,KR7006280002,녹십자,KOSPI,,165800,2,-2500,-1.49,168500,168600,165000,44293,7375005100,1937628000400,11686538,STK
263750,KR7263750002,펄어비스,KOSDAQ GLOBAL,우량기업부,30100,2,-5000,-14.25,35350,37500,30000,3639261,115729546450,1933860435500,64247855,KSQ
018670,KR7018670000,SK가스,KOSPI,,209500,1,1000,0.48,211000,214500,208000,9121,1921714000,1933736118000,9230244,STK
111770,KR7111770004,영원무역,KOSPI,,43600,2,-200,-0.46,43300,44050,43100,51707,2248497300,1931980004800,44311468,STK
051600,KR7051600005,한전KPS,KOSPI,,42750,1,200,0.47,42350,42750,42000,149704,6351877000,1923750000000,45000000,STK
005070,KR7005070008,코스모신소재,KOSPI,,58300,2,-800,-1.35,58900,59500,57800,214593,12562454900,1895377074800,32510756,STK
041510,KR7041510009,에스엠,KOSDAQ,우량기업부,81000,1,4100,5.33,76900,83000,76700,230107,18691770500,1891643787000,23353627,KSQ
002790,KR7002790004,아모레G,KOSPI,,22500,1,300,1.35,22200,22700,22050,74614,1672410750,1855309050000,82458180,STK
028670,KR7028670008,팬오션,KOSPI,,3470,1,25,0.73,3450,3500,3435,865248,3001551200,1854956206640,534569512,STK
257720,KR7257720003,실리콘투,KOSDAQ,벤처기업부,30100,1,1700,5.99,28600,30250,28400,1710809,50373502200,1832284343400,60873234,KSQ
009420,KR7009420001,한올바이오파마,KOSPI,,35000,1,750,2.19,34050,35450,33900,326054,11344047750,1828422330000,52240638,STK
139480,KR7139480008,이마트,KOSPI,,64400,1,600,0.94,63900,64700,63300,102273,6539130600,1795202743600,27875819,STK
489790,KR7489790006,한화인더스트리얼솔루션즈,KOSPI,,35500,1,1400,4.11,33700,35900,32800,1326165,45814266000,1792337845000,50488390,STK
282330,KR7282330000,BGF리테일,KOSPI,,103100,1,900,0.88,101900,103800,101800,61104,6272187000,1781970708600,17283906,STK
112610,KR7112610001,씨에스윈드,KOSPI,,41600,1,250,0.6,41200,41800,40400,324902,13446145750,1754330364800,42171403,STK
293490,KR7293490009,카카오게임즈,KOSDAQ GLOBAL,우량기업부,20900,1,3230,18.28,17730,22500,17730,8208317,171610971290,1731252106100,82835029,KSQ
361610,KR7361610009,SK아이이테크놀로지,KOSPI,,24250,1,100,0.41,23950,24500,23700,199884,4839116000,1728966606000,71297592,STK
237690,KR7237690003,에스티팜,KOSDAQ GLOBAL,우량기업부,85400,1,1700,2.03,83700,85900,83300,120779,10234786900,1719555474000,20135310,KSQ
178320,KR7178320008,서진시스템,KOSDAQ,우량기업부,30200,1,200,0.67,30000,30700,29500,768040,23138575800,1698688210800,56247954,KSQ
192820,KR7192820009,코스맥스,KOSPI,,148800,2,-3700,-2.43,153000,153200,148600,91004,13680131000,1688806939200,11349509,STK
000240,KR7000240002,한국앤컴퍼니,KOSPI,,17660,1,1150,6.97,16510,17780,16510,257853,4502159030,1676556338400,94935240,STK
001570,KR7001570001,금양,KOSPI,,26200,1,2100,8.71,23400,29350,23200,7343801,196830245150,1675940535200,63967196,STK
007310,KR7007310006,오뚜기,KOSPI,,410000,2,-4500,-1.09,410500,415000,409000,2905,1195042500,1643210300000,4007830,STK
